inicio,fim,alpha,beta,delta,theta,gamma
22750,22875,100.0,42.30380942620407,0.0,41.70924941192161,0.41923104353248986
22875,23000,100.0,40.23151411555785,0.0,46.313685414008766,0.4790499684677185
23000,23125,100.0,33.74716917913699,0.0,39.6101137994331,0.14118790943369164
23125,23250,100.0,20.78943886362982,0.0,54.196092945959954,0.7084926823272859
23250,23375,100.0,17.550368949684717,0.0,62.41023558468028,0.500655295777406
23375,23500,100.0,17.89077348790055,0.0,69.1402929198418,0.5593831704082578
23500,23625,100.00000000000001,22.28099556285902,0.0,67.34028493836264,0.2551323993020711
23625,23750,100.0,29.521935761143833,0.31169681662429416,73.0076336218436,0.0
23750,23875,100.0,27.894139436395967,0.0,78.27220847997414,0.19142874932648768
23875,24000,100.0,29.41586131926696,0.0,71.61846151902343,0.2638589878795492
24000,24125,100.00000000000001,28.518668416458265,0.0,73.15049923154783,0.6033806003912298
24125,24250,100.00000000000001,34.29331472960888,0.0,73.71689038228325,0.22597606936569936
24250,24375,99.99999999999999,33.9393605262266,0.581714844975942,93.03159664621631,0.0
24375,24500,91.18800492632997,28.135128384296614,0.4488937538958855,100.00000000000001,0.0
24500,24625,83.48784010490357,22.543629102516984,0.17935334694069782,100.00000000000001,0.0
24625,24750,70.6999093514065,24.674413083023648,0.0,99.99999999999999,0.4655219791263021
24750,24875,90.24510334789433,38.243764252250344,0.0,100.00000000000001,0.63760267700958
24875,25000,100.0,31.543476911388254,0.0,62.960575873594514,0.4608728145765526
25000,25125,100.00000000000001,20.346579939519767,0.0,44.60038057951223,0.38056048364319317
25125,25250,100.0,18.551901955213804,0.0,40.157319334814915,0.19887277184250252
25250,25375,99.99999999999999,19.362590105923374,0.0,49.41315832872618,0.11553692151853434
25375,25500,100.0,39.44737370310242,0.0,80.78949025052763,0.2407852854092556
25500,25625,99.99999999999999,30.951213053293575,0.0,53.5680673322817,0.20031830201689216
25625,25750,100.0,37.80922673922441,0.0,43.26448782091926,0.32636927761882384
25750,25875,100.00000000000001,27.241373864933212,0.0,32.82352881446799,0.03721426429247465
25875,26000,100.0,22.945790277789154,0.01466135955009773,23.732751697861893,0.0
26000,26125,100.0,16.90898116227388,0.030701740375000064,19.4426545434446,0.0
26125,26250,100.0,14.181017704801322,0.0,12.699250290075158,0.11168529929735965
26250,26375,100.00000000000001,12.792092845630469,0.010735858489944405,9.364255643497767,0.0
26375,26500,100.0,16.62989037640721,0.22298499464157734,13.608239836088096,0.0
26500,26625,99.99999999999999,13.35687369425197,0.0,17.603580924815525,0.10419615973885471
26625,26750,100.00000000000001,14.467406129066235,0.0,17.26206186890792,0.14664271686696903
26750,26875,100.0,13.677231268388084,0.0,11.42008935066762,0.20519960102253657
26875,27000,100.0,17.55349769383063,0.0,13.548608368195202,0.24649156367927422
27000,27125,100.0,14.475192933275688,0.0,16.89248909274426,0.330974394275412
27125,27250,100.00000000000001,13.52809010115091,0.0,21.905902437731697,0.12485255643820986
27250,27375,100.00000000000001,14.403399816336568,0.160384676615901,50.289023082933404,0.0
27375,27500,100.0,38.791320242178635,0.13769614726073198,61.17094813535724,0.0
27500,27625,100.0,33.30812026550941,0.0,51.33944792119189,0.20418390945941134
27625,27750,100.0,36.66653288468884,0.0,29.147254815432667,0.33183267840340747
27750,27875,100.0,19.519761559105635,0.16859409096797096,32.47737903857713,0.0
27875,28000,100.00000000000001,27.904494998003212,0.0,47.01721037381975,0.1824694111718127
28000,28125,99.99999999999999,18.784981752610186,0.0,38.71363219430516,0.23805034558836907
28125,28250,99.99999999999999,19.657355341011975,0.0,30.484125352314777,0.22889720061365787
28250,28375,100.0,14.601468272136627,0.0,21.44259373378778,0.011342589270559977
28375,28500,99.99999999999999,14.619859344349338,0.0,14.737068095111422,0.01946343317175636
28500,28625,99.99999999999999,13.788523846007038,0.0,11.259470220361433,0.3573919976710919
28625,28750,100.0,14.396569650207944,0.0,10.045925968806813,0.26350882450134117
28750,28875,100.0,17.51294973244799,0.0,11.79353407080696,0.22371802633215068
28875,29000,100.0,20.802146460699518,0.0,15.96750795931334,0.23212885432571556
29000,29125,100.0,27.805319839887474,0.0,23.076582376118388,0.37170438174130244
29125,29250,100.0,23.433754634127467,0.0,22.778703376039044,0.18652682281711352
